Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2006","2006","tonnes","242785588","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2007","2007","tonnes","260485904","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2008","2008","tonnes","266835300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2009","2009","tonnes","250783392","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2010","2010","tonnes","267838308","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2011","2011","tonnes","287860000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2012","2012","tonnes","293290000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2013","2013","tonnes","294909510","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2014","2014","tonnes","296010000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2015","2015","tonnes","284333000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2016","2016","tonnes","297850000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2017","2017","tonnes","310782330","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2018","2018","tonnes","321556400","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","324300640","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","335035000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1961","1961","tonnes","1212000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1962","1962","tonnes","1165000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1963","1963","tonnes","1165000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1964","1964","tonnes","1187000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1965","1965","tonnes","1276000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1966","1966","tonnes","1396000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1967","1967","tonnes","1497000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1968","1968","tonnes","1666000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1969","1969","tonnes","1570000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1970","1970","tonnes","1730000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1971","1971","tonnes","1785000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1972","1972","tonnes","1825000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1973","1973","tonnes","1705000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1974","1974","tonnes","1810000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1975","1975","tonnes","1710000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1976","1976","tonnes","2048000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1977","1977","tonnes","1583000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1978","1978","tonnes","1612000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1979","1979","tonnes","1658000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1980","1980","tonnes","1706000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1981","1981","tonnes","1759000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1982","1982","tonnes","1808000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1983","1983","tonnes","1914000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1984","1984","tonnes","1952000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1985","1985","tonnes","1870000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1986","1986","tonnes","2076000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1987","1987","tonnes","2255000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1988","1988","tonnes","2173000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1989","1989","tonnes","2760000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1990","1990","tonnes","2927000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1991","1991","tonnes","2843031","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1992","1992","tonnes","2185000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1993","1993","tonnes","3000000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1994","1994","tonnes","2991900","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1995","1995","tonnes","2765800","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1996","1996","tonnes","3178300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1997","1997","tonnes","3833400","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1998","1998","tonnes","3685500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","1999","1999","tonnes","3964600","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2000","2000","tonnes","4416200","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2001","2001","tonnes","4171900","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2002","2002","tonnes","4524200","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2003","2003","tonnes","3623500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2004","2004","tonnes","5021500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2005","2005","tonnes","4620100","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2006","2006","tonnes","6139000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2007","2007","tonnes","7145000","E","Estimated value"
