Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2006","2006","tonnes","452800282","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2007","2007","tonnes","457809418","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2008","2008","tonnes","480125970","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2009","2009","tonnes","483277147","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2010","2010","tonnes","497920509","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2011","2011","tonnes","521171808","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2012","2012","tonnes","541163568","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2013","2013","tonnes","554422546","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2014","2014","tonnes","559325233","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2015","2015","tonnes","619923476","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2016","2016","tonnes","616456119","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2017","2017","tonnes","616024479","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2018","2018","tonnes","611051683","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","614772460","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","617482978","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1961","1961","tonnes","234927","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1962","1962","tonnes","274641","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1963","1963","tonnes","256680","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1964","1964","tonnes","346341","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1965","1965","tonnes","372434","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1966","1966","tonnes","416693","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1967","1967","tonnes","439315","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1968","1968","tonnes","456588","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1969","1969","tonnes","451105","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1970","1970","tonnes","454115","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1971","1971","tonnes","495589","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1972","1972","tonnes","598978","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1973","1973","tonnes","637691","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1974","1974","tonnes","698942","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1975","1975","tonnes","684778","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1976","1976","tonnes","663972","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1977","1977","tonnes","767597","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1978","1978","tonnes","757663","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1979","1979","tonnes","953828","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1980","1980","tonnes","1110828","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1981","1981","tonnes","1187945","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1982","1982","tonnes","1330283","E","Estimated value"
